MR_ID,smiles,AURKA
4324085,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4c(C)[nH]c5ccccc45)n3)cc2)CC1,7.42365864979421
4342344,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4c(C)c(C#N)n(C)c4C)n3)cn2)CC1,6.63078414258986
4324086,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4c[nH]c5c(C)cccc45)n3)cc2)CC1,7.03763066432998
4324100,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4c[nH]c5c(Cl)cccc45)n3)cc2)CC1,6.25243283726237
4324101,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4c[nH]c5cc(F)ccc45)n3)cc2)CC1,6.7126462272852505
4324076,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4c[nH]c5ccccc45)n3)cc2)CC1,6.88706002391592
4324102,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4c[nH]c5ccccc45)n3)cc2C)CC1,6.55893359336074
4324093,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4cn(C)c5ccccc45)n3)cc2)CC1,6.6298571529489
4302507,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(N)nc4C)n3)cc2)CC1,7.00886438348022
4302584,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(NCCc5ccccc5)nc4C)n3)cc2)CC1,7.2218487496163615
4302639,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(Nc5ccccc5)nc4C)n3)cc2)CC1,6.602059991327961
4302666,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(-c5ccc(N6CCOCC6)cc5)nc4C)n3)cc2)CC1,6.49485002168009
4302673,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(-c5cccnc5)nc4C)n3)cc2)CC1,7.30102999566398
4302570,CC(=O)N1CCN(c2ccc(Nc3nccc(-c4sc(-c5cccs5)nc4C)n3)cc2)CC1,6.602059991327961
4310903,CC(=O)NC1CCN(c2nccc(-c3c[nH]c4ncccc34)n2)CC1,5.37747513759643
4302490,CC(=O)NCc1ccc(Nc2nccc(-c3sc(C)nc3C)n2)cc1,7.397940008672039
4302491,CC(=O)NCc1ccc(Nc2nccc(-c3sc(N)nc3C)n2)cc1,7.096910013008058
4302672,CC(=O)NCc1cccc(Nc2nccc(-c3sc(NCc4ccccc4)nc3C)n2)c1,6.30102999566398
4302662,CC(=O)NCc1cccc(Nc2nccc(-c3sc(-c4ccc(C)nc4)nc3C)n2)c1,5.600326278518961
4302538,CC(=O)NCc1cccc(Nc2nccc(-c3sc(-c4cccnc4)nc3C)n2)c1,6.92081875395237
4302569,CC(=O)NCc1cccc(Nc2nccc(-c3sc(-c4cccs4)nc3C)n2)c1,6.79588001734408
4302667,CC(=O)NCc1cccc(Nc2nccc(-c3sc(-c4ncc(C(F)(F)F)cc4Cl)nc3C)n2)c1,6.20065945054642
4302521,CC(=O)NS(=O)(=O)c1cccc(Nc2nccc(-c3sc(N)nc3C)n2)c1,6.69897000433602
4350624,CC(=O)Nc1ccc(Cn2nc(Nc3cc[nH]n3)c3ccccc3c2=O)cc1,6.25570701687732
4361764,CC(=O)Nc1ccc(Nc2ncc(Br)s2)cc1,6.44369749923271
4346055,CC(=O)Nc1ccc(Oc2nc(Nc3cc(C)[nH]n3)cc3ccccc23)cc1,7.4089353929735005
4360841,CC(=O)Nc1cccc(CN2Cc3c([nH]c4cc(-c5ccco5)nn4c3=O)C2=O)c1,4.73754891026957
4361760,CC(=O)c1ccc(Nc2ncc(Br)s2)cc1,5.769551078621732
4310908,CC(=O)n1cc(-c2ccnc(NC3CCCCC3)n2)c2cccnc21,6.49471432585587
4324096,CC(=O)n1cc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c2ccccc21,5.660051938305651
4335524,CC(C)(C)NC(=O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,6.0
4318315,CC(C)(C)OC(=O)N1CCC(N(Cc2ccc(Nc3ncc4cnn(C5CCCCC5)c4n3)cc2)C(=O)OC(C)(C)C)CC1,5.89962945488244
4360570,CC(C)(C)OC(=O)N(Cc1ccc(Nc2ncc3cnn(C4CCCCC4)c3n2)cc1)C1Cc2ccccc2C1,6.0
4360575,CC(C)(C)OC(=O)N(Cc1ccc(Nc2ncc3cnn([C@H]4C[C@@H]5CC[C@H]4C5)c3n2)cc1)C1Cc2ccccc2C1,5.200039472594018
4360574,CC(C)(C)OC(=O)N(c1ccc(CN(C(=O)OC(C)(C)C)C2Cc3ccccc3C2)cc1)c1ncc2cnn([C@H]3C[C@@H]4CC[C@H]3C4)c2n1,6.8013429130455805
4318332,CC(C)(C)OC(=O)N(c1ccc(CN2CCOCC2)cc1)c1ncc2cnn([C@H]3C[C@@H]4CC[C@@H]3C4)c2n1,5.49485002168009
4318320,CC(C)(C)OC(=O)N(c1ccc(CNC2CCOCC2)cc1)c1ncc2cnn(C3CCCCC3)c2n1,5.0
4318362,CC(C)(C)OC(=O)N1CCN(c2ccc(Nc3ncc4cnn(C5CCCCC5)c4n3)cc2)CC1,7.0
4347755,CC(C)(C)OC(=O)n1c(-c2cccc3c2C(=O)NC3)cc2cc(O)ccc21,5.02918838912748
4347757,CC(C)(C)OC(=O)n1c(-c2cccc3c2C(=O)NC3)cc2cc(OCCN3CCOCC3)ccc21,0.0
4291705,CC(C)(C)c1ccc(C(=O)Nc2n[nH]c3c2CN(C(=O)Cc2ccccc2)C3)cc1,6.88605664769316
4291703,CC(C)(C)c1ccc(C(=O)Nc2n[nH]c3c2CN(C(=O)Cc2cccs2)C3)cc1,8.30102999566398
4291704,CC(C)(C)c1ccc(C(=O)Nc2n[nH]c3c2CN(C(=O)c2ccco2)C3)cc1,7.387216143280259
4359983,CC(C)(NC(=O)c1cc2c(NC(=O)c3ccccc3NC(=O)c3ccc[nH]3)n[nH]c2s1)c1ccccc1,8.221848749616361
4359984,CC(C)(NC(=O)c1cc2c(NC(=O)c3ccccc3NC(=O)c3ccc[nH]3)n[nH]c2s1)c1ccccc1F,7.92081875395237
4318335,CC(C)(O)CN1CCC(NC(=O)c2ccc(Nc3ncc4cnn(C5CCCCC5)c4n3)cc2)CC1,6.508638306165731
4318317,CC(C)(O)CN1CCC(NCc2ccc(Nc3ncc4cnn(C5CCCCC5)c4n3)cc2)CC1,6.0
4318312,CC(C)(O)CN1CCN(C(=O)c2ccc(Nc3ncc4cnn(C5CCCCC5)c4n3)cc2)CC1,6.92081875395237
4318361,CC(C)(O)CN1CCN(c2ccc(Nc3ncc4cnn(C5CCCCC5)c4n3)cc2)CC1,6.602059991327961
4318324,CC(C)(O)CN1CCN(Cc2ccc(Nc3ncc4cnn(C5CCCCC5)c4n3)cc2)CC1,6.0
4346696,CC(C)CN1CCN(c2ccc(Nc3nccc(C(=O)NC4CC5CCC4(C)C5(C)C)n3)cc2)CC1,7.031517051446071
4346056,CC(C)COc1nc(Nc2cc[nH]n2)cc2ccccc12,5.8347556738746915
4336513,CC(C)N1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]c5c4CCCC5)nc3cc21,7.92081875395237
4336512,CC(C)N1C(=O)C(C)(C)c2cc3[nH]c(-c4n[nH]c5c4CCC5)nc3cc21,7.769551078621732
4346694,CC(C)N1CCN(c2ccc(Nc3nccc(C(=O)NC4CC5CCC4(C)C5(C)C)n3)cc2)CC1,7.69897000433602
4302602,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CCN(CC(=O)NC(C)C)CC4)cc3)n2)s1,7.2218487496163615
4335517,CC(C)NCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,5.44111154771615
4335482,CC(C)NCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,6.579384229374241
4342340,Cc1[nH]c(C#N)c(C)c1-c1ccnc(Nc2cccc(S(=O)(=O)NC(C)C)c2)n1,5.4784696587212895
4299675,Cc1cncc2cccc(S(=O)(=O)N3CCCNC[C@@H]3C(C)C)c12,5.43770713554353
4304341,Cc1cc(-c2nc3cc4[nH]c(=O)n(C(C)C)c4cc3[nH]2)n[nH]1,6.8013429130455805
4350621,Cc1cc(Nc2nn(C(C)C)c(=O)c3cc(OCCN4CCOCC4)ccc23)n[nH]1,8.15490195998574
4291934,CC(CN(C)C)Oc1ccc(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,5.49093195498284
4346704,CC1(C)C2CCC1(C)C(NC(=O)c1ccnc(Nc3ccc(NCCN4CCCC4)cc3)n1)C2,8.0
4346695,CC1(C)C2CCC1(C)C(NC(=O)c1ccnc(Nc3ccc(N4CCCCC4)cc3)n1)C2,7.481486060122111
4346700,CC1(C)C2CCC1(C)C(NC(=O)c1ccnc(Nc3ccc(N4CCN(CC#N)CC4)cc3)n1)C2,7.92081875395237
4346699,CC1(C)C2CCC1(C)C(NC(=O)c1ccnc(Nc3ccc(N4CCN(CCO)CC4)cc3)n1)C2,8.0
4346701,CC1(C)C2CCC1(C)C(NC(=O)c1ccnc(Nc3cccc(NCC#N)c3)n1)C2,7.7212463990471685
4346706,CC1(C)C2CCC1(C)C(NC(=O)c1ccnc(Nc3cccc(NCCCN4CCOCC4)c3)n1)C2,7.4089353929735005
4346702,CC1(C)C2CCC1(C)C(NC(=O)c1ccnc(Nc3cccc(N4CCOCC4)c3)n1)C2,7.275724130399211
4310943,CC1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,6.5058454059815585
4299669,Cc1cncc2cccc(S(=O)(=O)N3CCNC(C)CC3)c12,5.43770713554353
4299676,Cc1cncc2cccc(S(=O)(=O)N3CCNCCC3C)c12,5.815308569182402
4342356,Cc1c[nH]c(C)c1-c1ccnc(Nc2ccc(N3CC(C)OC(C)C3)cc2)n1,6.6382721639824105
4302567,Cc1nc(C)c(-c2ccnc(Nc3ccc(N4CC(C)OC(C)C4)cc3)n2)s1,7.397940008672039
4299668,Cc1cncc2cccc(S(=O)(=O)N3CCCNC(C)C3)c12,4.88941028970075
4299673,Cc1cncc2cccc(S(=O)(=O)N3CCNCC(C)C3)c12,5.4907974776689015
4336572,CCCCC(=O)Nc1ncc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)cn1,7.769551078621732
4360433,CCCCN(C)c1nc(NCCc2ccccc2OC)nc(NCCc2c[nH]c3ncccc23)n1,5.92081875395237
4360432,CCCCN(C)c1nc(NCCc2ccccc2OC)nc(NC(Cc2c[nH]c3ncccc23)C(N)=O)n1,5.420216403383192
4335478,CCCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1,5.611188586526481
4335504,CCCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,6.611188586526481
10000015,CCCCc1cnc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)s1,8.221848749616361
4341240,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cc1,5.4089353929735005
4346693,CCCN1CCN(c2ccc(Nc3nccc(C(=O)NC4CC5CCC4(C)C5(C)C)n3)cc2)CC1,7.69897000433602
4335477,CCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1,5.398972688264611
4335503,CCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,6.56944123047724
4335484,CCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,6.55299710153384
4349364,CCCS(=O)(=O)N=S(C)(=O)c1ccc2cc1NCCCCNc1nc(ncc1Br)N2,7.3565473235138095
