MR_ID,smiles,ABL1
4342956,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2ccc3c(c2)CNCC3)n1,5.85387196432176
4342813,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2cccc(C#N)c2)n1,5.2839966563652006
4342703,CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2cnc3ccccc3c2)n1,5.318758762624411
4342923,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)c(F)c2F)n(-c2cc(CC(N)=O)c3ccccc3c2)n1,7.102372908709558
4342941,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)c(F)c2F)n(-c2cc(CC(=O)NCC(O)CO)c3ccccc3c2)n1,7.0
4342886,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)c(F)c2F)n(-c2cc(CO)c3ccccc3c2)n1,6.95860731484177
4342899,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)c(F)c2F)n(-c2ccc3c(c2)CCNC3)n1,6.85387196432176
4342930,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)cc2)n(-c2cc(CC(N)=O)c3ccccc3c2)n1,6.4089353929735005
4342925,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)cc2F)n(-c2cc(CC(N)=O)c3ccccc3c2)n1,6.44369749923271
4342887,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)cc2F)n(-c2cc(CO)c3ccccc3c2)n1,6.52287874528034
4342894,CC(C)(C)c1cc(NC(=O)Nc2ccc(F)cc2F)n(-c2ccc3c(c2)CCNC3)n1,6.387216143280259
4342733,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)n(-c2ccc3c(c2)CCNC3)n1,6.602059991327961
4342863,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)n(-c2ccc3c(c2)CC(C(N)=O)NC3)n1,7.69897000433602
4342861,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)n(-c2ccc3c(c2)CC(C(=O)O)NC3)n1,8.180456064458129
4342872,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)n(-c2ccc3c(c2)CCN3S(C)(=O)=O)n1,7.5686362358410095
4342871,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)n(-c2ccc3c(c2)CCN3)n1,7.67778070526608
4342868,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)n(-c2cccc(-c3cn[nH]c3)c2)n1,7.2839966563652
4342909,CC(C)(C)c1cc(NC(=O)Nc2ccc3c(c2)OCO3)n(-c2cccc(C#N)c2)n1,5.52287874528034
4342796,CC(C)(C)c1cc(NC(=O)Nc2cccc(Br)c2)n(-c2cccc(C#N)c2)n1,5.69897000433602
4342908,CC(C)(C)c1cc(NC(=O)Nc2cccc(C#N)c2)n(-c2cc(CN)c3ccccc3c2)n1,6.7212463990471685
4342957,CC(C)(C)c1cc(NC(=O)Nc2cccc(C#N)c2)n(-c2ccc3c(c2)CNCC3)n1,6.744727494896691
4342891,CC(C)(C)c1cc(NC(=O)Nc2cccc(C#N)c2)n(-c2ccc3c(c2)CCNC3)n1,6.85387196432176
4342921,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cc(CC(N)=O)c3ccccc3c2)n1,7.14266750356873
4342912,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cc(CC(=O)O)c3ccccc3c2)n1,6.585026652029178
4342873,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cc(CCN)c3ccccc3c2)n1,7.09151498112135
4342707,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cc(CN)c3ccccc3c2)n1,6.85387196432176
4342710,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cc(CNC(=O)NS(C)(=O)=O)c3ccccc3c2)n1,7.20065945054642
4342704,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2cc(CO)c3ccccc3c2)n1,7.20065945054642
4342664,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(CC(=O)N3CCCC(C(=O)O)C3)cc2)n1,5.07572071393812
4342683,CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(-c2ccc(CCC(=O)O)cc2)n1,5.376750709602098
